countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
CH,Switzerland,100008,Aarau,1090143,Traube,All,Hauptstrasse 58 5024 Küttigen ,,"Set in Küttigen, within 41 km of Roman Town of Augusta Raurica and 49 km of Schaulager, Speiserestaurant Traube offers accommodation with a restaurant and free WiFi as well as free private parking for guests who drive. The property is around 49 km from Kunstmuseum Basel, 49 km from Badischer Bahnhof and 50 km from Museum Rietberg. The property is non-smoking and is located 49 km from Bahnhofstrasse.

At the hotel, every room comes with a desk and a flat-screen TV. At Speiserestaurant Traube every room includes bed linen and towels.

Guests at the accommodation can enjoy a continental breakfast.

Basel SBB is 50 km from Speiserestaurant Traube. The nearest airport is Zurich Airport, 55 km from the hotel. Please note that the restaurant is closed on Mondays. Front desk staff is only available on request on Mondays.",,Non-smoking rooms meeting/banquet facilities Pets allowed Restaurant Parking staff follow all safety protocols as directed by local authorities Fire extinguishers Key access Private parking parking on site vending machine (snacks) vending machine (drinks) Non-smoking throughout Free WiFi wifi Heating Hiking internet services Free parking,47.41699|8.04728,+41628271767,5024,https://www.booking.com/hotel/ch/speiserestaurant-traube.html
CH,Switzerland,100008,Aarau,1219902,Sorell Hotel Argovia,ThreeStar,"KASERNENSTRASSE, 24 AARAU ",,"The Sorell Hotel Aargau is located just 100 meters from the Aarau Train Station and 5 minutes walk from the picturesque Old Town. The hotel's attentive staff can provide information about what to see and do in the picturesque canton Aargau. The Naturama Museum and Aargau Kunsthaus art center is a 10 minute walk. National bicycle routes 3, 5 and 8 go through the next door.",,Hotel TV Cable TV 220V power supply Minibar Central heating Safe Desk Laundry service Hotel safe Currency exchange facilities Lift access Non-smoking area Breakfast American Express EC JCB Diners Club MasterCard Visa Maestro Visa Electrón EuroCard Bathroom Shower Bathtub Hairdryer Toiletries Direct dial telephone,47.39215|8.049115,,5001,www.hotelargovia.ch
CH,Switzerland,100008,Aarau,1231502,Sorell Hotel Aarauerhof,ThreeStar,Bahnhofplatz 2 5000 Aarau ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Naturama Aargau Museum - 0.1 km / 0.1 mi <br /> Kasino Park - 0.4 km / 0.2 mi <br /> Aargau Art Museum - 0.5 km / 0.3 mi <br /> Aarau Church - 0.8 km / 0.5 mi <br /> Aargau Jura Park - 1.3 km / 0.8 mi <br /> Aargauer Kunsthaus - 1.5 km / 0.9 mi <br /> Pfarrkirche Heilig Geist Suhr - 2.5 km / 1.5 mi <br /> Suhr Museum - 3.2 km / 2 mi <br /> Chocolat Frey - 3.7 km / 2.3 mi <br /> Jura Crest Trail - 6.9 km / 4.3 mi <br /> Wildegg Castle - 11.5 km / 7.2 mi <br /> Kraftreaktor - 12.4 km / 7.7 mi <br /> University of Applied Sciences and Arts Northwestern Switzerland - 13 km / 8.1 mi <br /> Lenzburg Castle - 13.3 km / 8.3 mi <br /> Kunstmuseum Olten - 14.1 km / 8.8 mi <br /> </p><p>The nearest airports are:<br />Zurich Airport (ZRH) - 51.1 km / 31.7 mi<br /> EuroAirport Airport (BSL) - 62.5 km / 38.9 mi<br /> Mulhouse (MLH-EuroAirport) - 62.5 km / 38.8 mi<br /> </p><p></p>,"<p>HeadLine : Near Naturama Aargau Museum</p><p>Location : A stay at Aarauerhof - Self Check-in  places you in the heart of Aarau, steps from Naturama Aargau Museum and 4 minutes by foot from Kasino Park.  This hotel is 0.3 mi (0.5 km) from Aargau Art Museum and 0.6 mi (0.9 km) from Aarau Church.</p><p>Rooms : Make yourself at home in one of the 77 guestrooms. Complimentary wireless Internet access is available to keep you connected. Private bathrooms have complimentary toiletries and hair dryers. Conveniences include safes and desks, and housekeeping is provided daily.</p><p>Dining : A complimentary continental breakfast is served on weekdays from 6:30 AM to 9:30 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a smoke detector and a first aid kit</li>  </ul></p><p>Special Instructions : There is no front desk at this property. Guests will receive an email 24 hours before arrival with check-in instructions. Guests can access their accommodation through a private entrance.</p>",41-62-8378400,Change of towels (on request) Upper floors accessible by stairs only Safe-deposit box at front desk Smoke-free property Wheelchair accessible  no Free breakfast Express check-out Express check-in Change of bed sheets (on request) Free continental breakfast Free WiFi,47.391711|8.050343,41-62-8378300,5001,http://www.aarauerhof.ch
CH,Switzerland,100008,Aarau,1493065,Hotel Kettenbrücke,FourStar,Zollrain 16 5000 Aarau ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Aarau Church - 0.2 km / 0.1 mi <br /> Kasino Park - 0.3 km / 0.2 mi <br /> Aargau Art Museum - 0.6 km / 0.3 mi <br /> Aargau Jura Park - 0.9 km / 0.5 mi <br /> Naturama Aargau Museum - 0.9 km / 0.6 mi <br /> Aargauer Kunsthaus - 2 km / 1.3 mi <br /> Pfarrkirche Heilig Geist Suhr - 3 km / 1.9 mi <br /> Suhr Museum - 3.8 km / 2.3 mi <br /> Chocolat Frey - 4.4 km / 2.7 mi <br /> Jura Crest Trail - 7.4 km / 4.6 mi <br /> Wildegg Castle - 12.6 km / 7.8 mi <br /> University of Applied Sciences and Arts Northwestern Switzerland - 13 km / 8.1 mi <br /> Kraftreaktor - 13.5 km / 8.4 mi <br /> Kunstmuseum Olten - 14.1 km / 8.8 mi <br /> Lenzburg Castle - 14.4 km / 8.9 mi <br /> </p><p>The nearest airports are:<br />Zurich Airport (ZRH) - 52 km / 32.3 mi<br /> EuroAirport Airport (BSL) - 63 km / 39.1 mi<br /> Mulhouse (MLH-EuroAirport) - 62.9 km / 39.1 mi<br /> </p><p>The preferred airport for Hotel Kettenbrücke is Zurich Airport (ZRH). </p>,"<p>HeadLine : Near Aarau Church</p><p>Location : A stay at Hotel Kettenbrücke places you in the heart of Aarau, within a 5-minute walk of Aarau Church and Kasino Park.  This 4-star hotel is 0.3 mi (0.6 km) from Aargau Art Museum and 0.6 mi (1 km) from Naturama Aargau Museum.</p><p>Rooms : Make yourself at home in one of the 27 guestrooms featuring espresso makers and flat-screen televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with bathtubs or showers feature rainfall showerheads and complimentary toiletries. Conveniences include safes and desks, as well as phones with free local calls.</p><p>Dining : Enjoy a meal at Hotel Zollhuus, or stay in and take advantage of the hotel s room service (during limited hours). A complimentary local cuisine breakfast is served on weekdays from 6:30 AM to 9:30 AM and on weekends from 7:30 AM to 10:00 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li><li>Long-term renters welcome</li><li>Safety features at this property include a fire extinguisher, a smoke detector, and a first aid kit</li>  </ul></p><p>Special Instructions : The front desk is open during the following times:<ul><li>Monday - Friday: 6:30 AM - 10:00 PM</li></ul> <ul><li>Saturday - Saturday: 7:30 AM - 8:00 PM</li></ul>To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation. Guests will receive an email 72 hours before arrival with check-in instructions and lockbox information. Front desk staff will greet guests on arrival. At check-in, guests must provide either a negative COVID-19 test result or a record of full COVID-19 vaccination. The negative COVID-19 test result requirement applies to all guests aged 16 and up, and test must have been administered no more than 48 hours prior to check-in. COVID-19 vaccination record requirement applies to all guests aged 16 and up; guests must have received complete vaccination at least 14 days prior to check-in.</p>",41-62-8381819,Dry cleaning/laundry service Distance from property (meters) - 50 Wheelchair accessible (may have limitations) Food and water bowls Meeting rooms Free WiFi Bicycle parking available In-room accessibility (in select rooms) Free newspapers in lobby Roll-in shower (in select rooms) Tours/ticket assistance Accessible bathroom (in select rooms) Rooftop terrace Luggage storage Distance from property (ft) - 164 Free breakfast Multilingual staff Free breakfast (local cuisine) Daily Safe-deposit box at front desk Smoke-free property Laundry facilities elevator Terrace,47.39431|8.0429,41-62-8381818,5000,https://www.hotelkettenbruecke.ch/de/home
CH,Switzerland,100008,Aarau,5246232,Gasthof Zum SchÜtzen,All,Schachenallee 39  ,,"Gasthof zum Schützen offers a restaurant, free WiFi access, and free parking on site, 600 metres from the centre of Aarau and 1 km from the train station.

All rooms come with a flat-screen TV with cable channels and a bathroom with a shower or bath and a hairdryer.

The restaurant on site serves traditional and seasonal dishes. A buffet breakfast is also available at Gasthof zum Schützen.

The Ifang Bus Stop is 50 metres away and upon request, a shuttle service can be arranged for a surcharge. The Aare River and a public pool are reachable within a 5-minute walk. It is 50 km to Zurich. Please inform Gasthof zum Schützen in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
Bar is closed from Tue 22 Dec 2020 until Fri 22 Jan 2021
Please note that between January 6th and January 8th the kitchen is going to be refurbished and there may occur construction noise also during the night.
Therefore the restaurant remains closed on January 7th and January 8th",+41(0)628220053,Parking Restaurant Pets allowed Bar Garden Terrace Non-smoking rooms Laundry Family rooms Ironing service internet services express check-in/check-out Billiards Table tennis Packed lunches Cycling Bowling Tour desk Heating Fax/photocopying Squash wifi Free WiFi Non-smoking throughout designated smoking area Sun terrace Special diet menus (on request) parking on site wifi available in all areas Parking garage electric vehicle charging station Wine/champagne coffee house on site Outdoor furniture temporary art galleries Walking tours Bike tours Live music/performance staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas cashless payment available physical distancing rules followed delivered food is securely covered,47.38875|8.03991,07736 279,5000,https://www.booking.com/hotel/ch/gasthof-zum-scha1-4tzen-ag.html
CH,Switzerland,100431,Aarberg,1290683,Hotel Restaurant Krone,ThreeStar,Stadtplatz 29 3270 AarbergBern ,,"Located in the very heart of the medieval town of Aarberg, Hotel-Restaurant Krone is only 200 metres from the Main Train and Bus Station. It offers a rich breakfast buffet.

All comfortable rooms provide a private bathroom, cable TV and a work desk.

Guests can enjoy Swiss and international cuisine either indoors or on the lovely sun terrace. A wide range of international wines is also served at the Krone.

Aarberg is an ideal starting point for hiking, mountain biking or bathing in the Lake Biel, which is 8 km away. The city of Bern is 30 km from the Hotel-Restaurant Krone.

Parking is free of charge at the Krone.",+41323919965,Hiking Packed lunches Cycling Tour desk Heating Fax/photocopying Luggage storage wifi Allergy-free room Free WiFi ATM/cash machine on site Special diet menus (on request) vending machine (drinks) vending machine (snacks) minimarket on site Daily housekeeping Private parking wifi available in all areas Parking Restaurant Pets allowed meeting/banquet facilities Terrace Non-smoking rooms Laundry Facilities for disabled guests Barber/beauty shop Family rooms Ironing service Free parking internet services lift Safety Deposit Box staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay Kid meals Kid-friendly buffet Tour or class about local culture Smoke alarms Fire extinguishers linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays physical distancing in dining areas,47.04403|7.27603,(41) 323919966,3270,https://www.booking.com/hotel/ch/restaurant-krone-aarberg.html
CH,Switzerland,100543,Aarburg,5001195,Holiday Inn Express Aarburg - Oftringen,ThreeStar,"Bernstrasse 4, 4665 Oftringen, Switzerland  ",Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>University of Applied Sciences and Arts Northwestern Switzerland - 5.8 km / 3.6 mi <br /> Kunstmuseum Olten - 6.1 km / 3.8 mi <br /> Naturmuseum Olten - 6.3 km / 3.9 mi <br /> Jura Crest Trail - 12.2 km / 7.6 mi <br /> Jura World of Coffee - 15.6 km / 9.7 mi <br /> Suhr Museum - 17.9 km / 11.1 mi <br /> Evangelical Reformed Church - 18 km / 11.2 mi <br /> Thal Nature Park - 18.1 km / 11.2 mi <br /> Aargauer Kunsthaus - 18.1 km / 11.3 mi <br /> Langenthal Deer Park - 18.2 km / 11.3 mi <br /> Museum Langenthal - 18.2 km / 11.3 mi <br /> Aargau Art Museum - 18.2 km / 11.3 mi <br /> Kasino Park - 18.4 km / 11.5 mi <br /> Pfarrkirche Heilig Geist Suhr - 18.6 km / 11.6 mi <br /> Aarau Church - 18.7 km / 11.6 mi <br /> </p><p>The nearest airports are:<br />EuroAirport Airport (BSL) - 59.4 km / 36.9 mi<br /> Mulhouse (MLH-EuroAirport) - 60.1 km / 37.3 mi<br /> </p><p></p>,"<p>HeadLine : In Oftringen</p><p>Location : With a stay at Holiday Inn Express Aarburg - Oftringen, an IHG Hotel in Oftringen, you ll be within a 10-minute drive of University of Applied Sciences and Arts Northwestern Switzerland and Kunstmuseum Olten.  This hotel is 3.9 mi (6.3 km) from Naturmuseum Olten and 7.6 mi (12.2 km) from Jura Crest Trail.</p><p>Rooms : Make yourself at home in one of the 80 air-conditioned rooms featuring flat-screen televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have showers and hair dryers. Conveniences include phones and irons/ironing boards, and housekeeping is provided daily.</p><p>Dining : A complimentary continental breakfast is served daily.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li><li>Safety features at this property include a smoke detector and window guards</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.  Guests booked in breakfast included rate plans receive breakfast for up to 2 adults who are sharing a guestroom. Breakfast fees apply for additional guests. Guests booked in dinner included rate plans receive dinner for up to 2 adults who are sharing a guestroom. Dinner fees apply for additional guests.</p>",,Hair salon Uncovered parking Wheelchair accessible (may have limitations) Vending machine Wheelchair-accessible path to elevator Free wired Internet Wheelchair-accessible registration desk Free WiFi In-room accessibility (in select rooms) Wheelchair accessible parking Tours/ticket assistance Free continental breakfast Wheelchair-accessible lounge Luggage storage Wheelchair-accessible on-site restaurant Free breakfast Visual alarms in hallways Business center Handrails in stairways 24-hour front desk Daily Safe-deposit box at front desk elevator Free self parking ATM/banking,47.31198|7.916609,41-627-877880,4665,
CH,Switzerland,100764,Abtwil,1315930,Hotel Säntispark,FourStar,Wiesenbachstrasse 5 Abtwil 9030 AbtwilSt.Gallen ,,"Overlooking Säntis Mountain, a 10-minute drive from Sankt Gallen, Hotel Säntispark offers elegantly furnished rooms and free WiFi access.

The Säntispark Hotels restaurant Schnabelweid offers a fine selection of regional specialities and Swiss cuisine. Il Ristorante Uliveto serves creative Italian cuisine. Guests can enjoy wine, cocktails and appetizers in the hotels lounge bar.

The rooms are spacious and have a flat-screen TV and with an information channel and a video-on-demand option. Individually adjustable air conditioning and a large seating area are also provided in each room.

The large public spa area can be used for free and includes a modern childrens adventure world, a wave pool, a large indoor- and outdoor area, a hot tub and various saunas and steam baths. Here guests can choose from a number of massage and beauty treatments. Guests can also play badminton, squash, tennis, bowling and table tennis on site for an additional charge.

Located in the village of Abtwil, the hotel is a 2-minute drive from the A1 motorway (exit 80, St. Gallen-Winkeln-Abtwil). Säntispark Bus Stop is 50 metres from the hotel, and buses to St. Gallen, a 20-minute drive away, leave every 10 minutes (line no. 7). Food & beverage services at this property may be limited or unavailable due to Coronavirus (COVID-19).
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Please note that the public spa area is located in an adjacent building, about 100 metres from the hotel.",41713131113,Spa lounge/relaxation area Spa/wellness packages Fitness fitness/spa locker rooms kids' pool Parking Restaurant Pets allowed Room service meeting/banquet facilities Bar 24-hour front desk Tennis Court Sauna Fitness centre Garden Terrace Non-smoking rooms Airport shuttle Laundry Facilities for disabled guests Skiing Barber/beauty shop Family rooms Games room breakfast in the room Ironing service internet services lift express check-in/check-out Solarium Safety Deposit Box Currency exchange Spa and wellness centre Massage children's playground Billiards Table tennis Darts Hot tub/jacuzzi Soundproof rooms Hiking Packed lunches Cycling Bowling hammam Heating Fax/photocopying Squash Luggage storage wifi Mini golf Allergy-free room Indoor pool Outdoor pool Free WiFi Non-smoking throughout Air conditioning ATM/cash machine on site outdoor pool (all year) indoor pool (all year) concierge service ski equipment hire on site Special diet menus (on request) airport shuttle (additional charge) minimarket on site Water park Daily housekeeping parking on site wifi available in all areas Open-air bath water slide Kid meals Parking garage electric vehicle charging station Accessible parking Wine/champagne airport pick up airport drop off Pet bowls Spa Facilities Steam room hand sanitizer in guest accommodation and key areas staff follow all safety protocols as directed by local authorities food can be delivered to guest accommodation physical distancing in dining areas guest accommodation is disinfected between stays linens  towels and laundry washed in accordance with local authority guidelines use of cleaning chemicals that are effective against coronavirus Swimming pool Fire extinguishers CCTV outside property CCTV in common areas Smoke alarms Security alarm Key card access Live sport events (broadcast) Live music/performance Tour or class about local culture Walking tours Movie nights Swimming pool face masks for guests available thermometers for guests provided by property delivered food is securely covered breakfast takeaway containers guests have the option to cancel any cleaning services for their accommodation during their stay all plates  cutlery  glasses and other tableware have been sanitized property is cleaned by professional cleaning companies screens or physical barriers placed between staff and guests in appropriate areas mobile app for room service physical distancing rules followed cashless payment available contactless check-in/check-out first aid kit available,47.4175|9.31447,41 71 3131111,9030,https://www.booking.com/hotel/ch/santispark.html
CH,Switzerland,100764,Abtwil,1316065,Landgasthof Santisblick,ThreeStar,Grimm 27 9030 Abtwil ,Distances are calculated in a straight line from the property&apos;s location to the point of interest or attraction  and may not reflect actual travel distance. &lt;br /&gt;&lt;br /&gt; Distances are displayed to the nearest 0.1 mile and kilometer. &lt;p&gt;Walter Zoo - 2.4 km / 1.5 mi &lt;br /&gt;AFG Arena - 2.4 km / 1.5 mi &lt;br /&gt;Red Square - 4.8 km / 3 mi &lt;br /&gt;University of St. Gallen - 4.8 km / 3 mi &lt;br /&gt;Textile Museum - 4.8 km / 3 mi &lt;br /&gt;Abbey Library of Saint Gall - 5 km / 3.1 mi &lt;br /&gt;St. Laurenzen Church - 5 km / 3.1 mi &lt;br /&gt;Abbey of St.  Gall - 5.1 km / 3.2 mi &lt;br /&gt;St. Gallen Small Theater - 5.1 km / 3.2 mi &lt;br /&gt;Beer Bottle Museum - 5.2 km / 3.2 mi &lt;br /&gt;Theater St. Gallen - 5.3 km / 3.3 mi &lt;br /&gt;Grand Casino St. Gallen - 5.3 km / 3.3 mi &lt;br /&gt;St. Gallen Trade Fair - 5.7 km / 3.6 mi &lt;br /&gt;Three Ponds - 6.2 km / 3.8 mi &lt;br /&gt;Wildpark Peter and Paul - 6.3 km / 3.9 mi &lt;br /&gt;&lt;/p&gt;&lt;p&gt;The nearest airports are:&lt;br /&gt;Altenrhein (ACH-St. Gallen - Altenrhein) - 19.3 km / 12 mi&lt;br /&gt;Friedrichshafen (FDH-Friedrichshafen - Lake Constance) - 31.4 km / 19.5 mi&lt;br /&gt;Zurich (ZRH) - 56.3 km / 35 mi&lt;br /&gt;&lt;/p&gt;&lt;p&gt;The preferred airport for Landgasthof Säntisblick is Zurich (ZRH). &lt;/p&gt;,"<p><b>Property Location</b> <br />Located in Gaiserwald (Abtwil), Landgasthof Säntisblick is convenient to Walter Zoo and AFG Arena.  This hotel is within close proximity of Red Square and University of St. Gallen.</p><p><b>Rooms</b> <br />Make yourself at home in one of the 12 guestrooms. Complimentary wired and wireless Internet access keeps you connected, and cable programming provides entertainment. Private bathrooms have complimentary toiletries and hair dryers. Conveniences include complimentary newspapers and complimentary bottled water, and housekeeping is provided daily.</p><p><b>Amenities</b> <br />Take in the views from a rooftop terrace and a garden and make use of amenities such as complimentary wireless Internet access.</p><p><b>Dining</b> <br />Grab a bite to eat at the hotel''s restaurant, which features a bar, or stay in and take advantage of room service (during limited hours). Quench your thirst with your favorite drink at a bar/lounge.</p><p><b>Business, Other Amenities</b> <br />Featured amenities include complimentary high-speed (wired) Internet access, express check-in, and express check-out. Planning an event in Gaiserwald? This hotel has 1076 square feet (100 square meters) of space consisting of conference space and meeting rooms. Free self parking is available onsite.</p>",+41713132526,Meeting rooms Private bathrooms Restaurant coffee shop Safety Deposit Box American Express Free Internet access Free Wireless Internet access Pets allowed Cable / Satellite Television Bottled Water JCB Card Free self parking Free Wireless Internet access (inroom) Cribs Available Bar / Lounge Television Concierge Desk Visa MasterCard Rooftop terrace Diners Club Carte Blanche Breakfast available (surcharge) Free cribs/infant beds 24 Hour Front Desk Tour desk Toiletries Free Newspaper Self Laundry No elevators Luggage storage Hairdryer Discover Express Check In / Check Out Conference Facilites Garden,47.43008352|9.31045199,(41) 713132525,9030,http://www.saentis-blick.ch
CH,Switzerland,100229,Acquarossa,5271419,Chalet Casa Victoria,All,Zona Cumiasca 13A Acquarossa  ,,"Chalet Casa Victoria offers accommodation in Leontica.

There is a dining area and a kitchen complete with a dishwasher, an oven and toaster. A TV with satellite channels is available.

Lugano is 50 km from Chalet Casa Victoria, while Locarno is 33 km from the property. The nearest airport is Agno Airport, 146 km from Chalet Casa Victoria. Please inform Chalet Casa Victoria in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
This property will not accommodate hen, stag or similar parties.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are currently in effect at this property.",,Private parking Hot tub/jacuzzi property is cleaned by professional cleaning companies Non-smoking throughout Free parking physical distancing rules followed staff follow all safety protocols as directed by local authorities contactless check-in/check-out Sauna Terrace wifi Parking guest accommodation is disinfected between stays Garden internet services On-site parking use of cleaning chemicals that are effective against coronavirus Family rooms wifi available in all areas paid wifi cashless payment available Pets allowed Non-smoking rooms linens  towels and laundry washed in accordance with local authority guidelines invoice provided,46.45037|8.9261,,6722,https://www.booking.com/hotel/ch/chalet-casa-victoria.html
